========================================
       DATABASE CONTENTS SUMMARY
========================================

[ADMINS] Total: 1
 - ID: 1 | User: admin

[DRIVERS] Total: 1000
 - First 5 drivers:
   * D001: John Doe
   * D002: Alice Smith
   * D003: Bob Johnson
   * D004: Charlie Brown
   * D005: David Wilson

[DRIVER DATA] Total Data Points: 81
Time       | DriverID   | Speed    | Accel  | Brake  | Risk  | Pred      
22:13:18   | 1          | 79.4     | 3.4    | 3.2    | 36.0  | MODERATE  
22:13:18   | 1          | 94.1     | 8.4    | 8.1    | 77.0  | AGGRESSIVE
22:13:18   | 1          | 50.1     | 1.8    | 1.6    | 22.0  | SAFE      
22:13:18   | 1          | 46.1     | 2.3    | 2.9    | 20.0  | SAFE      
22:13:18   | 1          | 47.9     | 2.5    | 2.5    | 22.0  | SAFE      
22:13:18   | 1          | 77.5     | 3.2    | 4.2    | 31.0  | MODERATE  
22:13:18   | 1          | 105.1    | 8.9    | 7.9    | 78.0  | AGGRESSIVE
22:13:18   | 1          | 96.9     | 7.7    | 8.1    | 79.0  | AGGRESSIVE
22:13:18   | 1          | 92.0     | 9.9    | 8.5    | 78.0  | AGGRESSIVE
22:13:18   | 1          | 46.3     | 2.7    | 1.6    | 20.0  | SAFE      
22:13:14   | 1          | 118.4    | 7.3    | 7.2    | 96.0  | AGGRESSIVE
22:13:14   | 1          | 74.2     | 4.5    | 3.9    | 66.0  | MODERATE  
22:13:14   | 1          | 113.6    | 9.2    | 9.7    | 86.0  | AGGRESSIVE
22:13:14   | 1          | 41.5     | 2.9    | 2.7    | 2.0   | SAFE      
22:13:14   | 1          | 109.9    | 9.9    | 9.4    | 85.0  | AGGRESSIVE
22:13:14   | 1          | 105.9    | 7.0    | 7.3    | 98.0  | AGGRESSIVE
22:13:14   | 1          | 58.8     | 1.1    | 1.7    | 28.0  | SAFE      
22:13:14   | 1          | 85.9     | 7.6    | 6.4    | 81.0  | AGGRESSIVE
22:13:14   | 1          | 71.3     | 3.9    | 3.3    | 37.0  | MODERATE  
22:13:14   | 1          | 103.1    | 8.2    | 7.3    | 73.0  | AGGRESSIVE
22:12:48   | 1          | 87.4     | 6.1    | 9.2    | 87.0  | AGGRESSIVE
22:12:48   | 1          | 70.6     | 3.7    | 5.3    | 42.0  | MODERATE  
22:12:48   | 1          | 51.0     | 2.6    | 1.0    | 12.0  | SAFE      
22:12:48   | 1          | 72.3     | 5.6    | 4.4    | 31.0  | MODERATE  
22:12:48   | 1          | 69.4     | 4.8    | 4.3    | 50.0  | MODERATE  
22:12:48   | 1          | 74.5     | 5.0    | 4.7    | 59.0  | MODERATE  
22:12:48   | 1          | 90.9     | 7.8    | 7.7    | 78.0  | AGGRESSIVE
22:12:48   | 1          | 103.2    | 7.9    | 6.5    | 83.0  | AGGRESSIVE
22:12:48   | 1          | 72.1     | 3.3    | 4.3    | 49.0  | MODERATE  
22:12:48   | 1          | 61.8     | 5.5    | 4.9    | 31.0  | MODERATE  

[WARNINGS] Total Warnings Sent: 30
 - Last 5 warnings:
   * Time: 2026-02-05 22:20:34.493681 | To DriverID: 828 | Msg: Automatic Warning: Excessive speed (82.2 km/h) det...
   * Time: 2026-02-05 22:20:34.493681 | To DriverID: 813 | Msg: Automatic Warning: Excessive speed (94.2 km/h) det...
   * Time: 2026-02-05 22:20:34.493681 | To DriverID: 982 | Msg: Automatic Warning: Excessive speed (97.7 km/h) det...
   * Time: 2026-02-05 22:20:34.493681 | To DriverID: 134 | Msg: Automatic Warning: Excessive speed (110.2 km/h) de...
   * Time: 2026-02-05 22:20:34.493681 | To DriverID: 653 | Msg: Automatic Warning: Excessive speed (117.7 km/h) de...

========================================
